"No.","Time","Source","Source Port","Destination","Destination Port","Protocol","Length","Next Sequence Number","This is an ACK to the segment in frame","Bytes in flight","Info"
"1","0.000000000","192.168.56.102","39294","192.168.56.101","80","TCP","74","1","","","39294  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2622641931 TSecr=0 WS=128"
"2","0.003081221","PCSSystemtec_e4:9f:6b","","Broadcast","","ARP","60","","","","Who has 192.168.56.102? Tell 192.168.56.101"
"3","0.003081279","PCSSystemtec_e4:9f:6b","","Broadcast","","ARP","60","","","","Who has 192.168.56.102? Tell 192.168.56.101"
"4","0.003092064","PCSSystemtec_e5:53:72","","PCSSystemtec_e4:9f:6b","","ARP","42","","","","192.168.56.102 is at 08:00:27:e5:53:72"
"5","0.003105727","PCSSystemtec_e5:53:72","","PCSSystemtec_e4:9f:6b","","ARP","42","","","","192.168.56.102 is at 08:00:27:e5:53:72"
"6","0.003377543","192.168.56.101","80","192.168.56.102","39294","TCP","74","1","1","","80  >  39294 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM TSval=4294956044 TSecr=2622641931 WS=64"
"7","0.003395894","192.168.56.102","39294","192.168.56.101","80","TCP","66","1","6","","39294  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2622641935 TSecr=4294956044"
"8","0.003542173","192.168.56.102","39294","192.168.56.101","80","HTTP","391","326","","325","GET / HTTP/1.1 "
"9","0.003883549","192.168.56.101","80","192.168.56.102","39294","TCP","66","1","8","","80  >  39294 [ACK] Seq=1 Ack=326 Win=6912 Len=0 TSval=4294956045 TSecr=2622641935"
"10","0.059988610","192.168.56.101","80","192.168.56.102","39294","TCP","1204","1139","","1138","80  >  39294 [PSH, ACK] Seq=1 Ack=326 Win=6912 Len=1138 TSval=4294956050 TSecr=2622641935 [TCP segment of a reassembled PDU]"
"11","0.060004467","192.168.56.102","39294","192.168.56.101","80","TCP","66","326","10","","39294  >  80 [ACK] Seq=326 Ack=1139 Win=64128 Len=0 TSval=2622641991 TSecr=4294956050"
"12","0.060828269","192.168.56.101","80","192.168.56.102","39294","HTTP","71","1144","","5","HTTP/1.1 200 OK  (text/html)"
"13","0.060836613","192.168.56.102","39294","192.168.56.101","80","TCP","66","326","12","","39294  >  80 [ACK] Seq=326 Ack=1144 Win=64128 Len=0 TSval=2622641992 TSecr=4294956050"
"14","4.043641952","192.168.56.102","39294","192.168.56.101","80","HTTP","599","859","","533","GET /phpMyAdmin/ HTTP/1.1 "
"15","4.043985272","192.168.56.101","80","192.168.56.102","39294","TCP","66","1144","14","","80  >  39294 [ACK] Seq=1144 Ack=859 Win=7936 Len=0 TSval=4294956449 TSecr=2622645975"
"16","4.117010176","192.168.56.101","80","192.168.56.102","39294","HTTP","618","1696","","552","HTTP/1.1 304 Not Modified "
"17","4.117028754","192.168.56.102","39294","192.168.56.101","80","TCP","66","859","16","","39294  >  80 [ACK] Seq=859 Ack=1696 Win=64128 Len=0 TSval=2622646048 TSecr=4294956456"
"18","4.181729780","192.168.56.102","39294","192.168.56.101","80","HTTP","680","1473","","614","GET /phpMyAdmin/phpmyadmin.css.php?lang=en-utf-8&convcharset=utf-8&token=6986611be33e6e962221a3cd451abac6&js_frame=right&nocache=2457687151 HTTP/1.1 "
"19","4.182105306","192.168.56.101","80","192.168.56.102","39294","TCP","66","1696","18","","80  >  39294 [ACK] Seq=1696 Ack=1473 Win=9216 Len=0 TSval=4294956462 TSecr=2622646113"
"20","4.223766572","192.168.56.101","80","192.168.56.102","39294","HTTP","413","2043","","347","HTTP/1.1 304 Not Modified "
