"No.","Time","Delta","Source","Destination","Protocol","Length","TCP Segment Len","Time to Live","Info"
"1","0.000000","0.000000","192.168.23.1","192.168.23.255","DB-LSP-DISC","279","","64","Dropbox LAN sync Discovery Protocol"
"2","3.356476","3.356476","192.168.1.10","10.0.0.2","TCP","66","0","128","49844  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3","3.396521","0.040045","10.0.0.2","192.168.1.10","TCP","66","0","127","445  >  49844 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"4","3.396675","0.000154","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"5","3.397017","0.000342","192.168.1.10","10.0.0.2","SMB2","232","178","128","Negotiate Protocol Request"
"6","3.436383","0.039366","10.0.0.2","192.168.1.10","SMB2","566","512","127","Negotiate Protocol Response[Packet size limited during capture]"
"7","3.437815","0.001432","192.168.1.10","10.0.0.2","SMB2","220","166","128","Session Setup Request, NTLMSSP_NEGOTIATE"
"8","3.475966","0.038151","10.0.0.2","192.168.1.10","SMB2","401","347","127","Session Setup Response, Error: STATUS_MORE_PROCESSING_REQUIRED[Packet size limited during capture]"
"9","3.476869","0.000903","192.168.1.10","10.0.0.2","SMB2","697","643","128","Session Setup Request[Packet size limited during capture]"
"10","3.515876","0.039007","10.0.0.2","192.168.1.10","SMB2","159","105","127","Session Setup Response"
"11","3.516328","0.000452","192.168.1.10","10.0.0.2","SMB2","162","108","128","Tree Connect Request Tree: \\\\10.0.0.2\\users"
"12","3.556374","0.040046","10.0.0.2","192.168.1.10","SMB2","138","84","127","Tree Connect Response"
"13","3.556517","0.000143","192.168.1.10","10.0.0.2","SMB2","178","124","128","Ioctl Request FSCTL_QUERY_NETWORK_INTERFACE_INFO"
"14","3.556663","0.000146","192.168.1.10","10.0.0.2","SMB2","290","236","128","Create Request File: ross\\share;[Packet size limited during capture]"
"15","3.595995","0.039332","10.0.0.2","192.168.1.10","TCP","60","0","127","445  >  49844 [ACK] Seq=1049 Ack=1456 Win=64000 Len=0"
"16","3.595995","0.000000","10.0.0.2","192.168.1.10","SMB2","338","284","127","Create Response File: ross\\share;[Packet size limited during capture]"
"17","3.595995","0.000000","10.0.0.2","192.168.1.10","SMB2","626","572","127","Ioctl Response FSCTL_QUERY_NETWORK_INTERFACE_INFO[Packet size limited during capture]"
"18","3.596063","0.000068","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=1456 Ack=1905 Win=65536 Len=0"
"19","3.709138","0.113075","192.168.1.10","10.0.0.2","SMB2","250","196","128","Create Request File: ross\\share"
"20","3.745836","0.036698","10.0.0.2","192.168.1.10","SMB2","298","244","127","Create Response File: ross\\share[Packet size limited during capture]"
"21","3.746088","0.000252","192.168.1.10","10.0.0.2","SMB2","146","92","128","Close Request File: ross\\share"
"22","3.746250","0.000162","192.168.1.10","10.0.0.2","SMB2","234","180","128","Create Request File: "
"23","3.746374","0.000124","192.168.1.10","10.0.0.2","SMB2","406","352","128","Create Request File: ross\\share\\Desktop.ini[Packet size limited during capture]"
"24","3.785510","0.039136","10.0.0.2","192.168.1.10","TCP","60","0","127","445  >  49844 [ACK] Seq=2149 Ack=1924 Win=65280 Len=0"
"25","3.785510","0.000000","10.0.0.2","192.168.1.10","SMB2","182","128","127","Close Response"
"26","3.785510","0.000000","10.0.0.2","192.168.1.10","SMB2","298","244","127","Create Response File: [Packet size limited during capture]"
"27","3.785511","0.000001","10.0.0.2","192.168.1.10","SMB2","130","76","127","Create Response, Error: STATUS_OBJECT_NAME_NOT_FOUND"
"28","3.785577","0.000066","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=2276 Ack=2597 Win=64768 Len=0"
"29","3.786023","0.000446","192.168.1.10","10.0.0.2","SMB2","146","92","128","Close Request File: "
"30","3.786575","0.000552","192.168.1.10","10.0.0.2","SMB2","274","220","128","Create Request File: ross\\share\\AutoRun.inf[Packet size limited during capture]"
"31","3.826522","0.039947","10.0.0.2","192.168.1.10","TCP","60","0","127","445  >  49844 [ACK] Seq=2597 Ack=2588 Win=64512 Len=0"
"32","3.826523","0.000001","10.0.0.2","192.168.1.10","SMB2","130","76","127","Create Response, Error: STATUS_OBJECT_NAME_NOT_FOUND"
"33","3.826523","0.000000","10.0.0.2","192.168.1.10","SMB2","182","128","127","Close Response"
"34","3.826580","0.000057","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=2588 Ack=2801 Win=64768 Len=0"
"35","3.902990","0.076410","192.168.1.10","10.0.0.2","SMB2","370","316","128","Create Request File: ross\\share[Packet size limited during capture]"
"36","3.936065","0.033075","10.0.0.2","192.168.1.10","SMB2","474","420","127","Create Response File: ross\\share[Packet size limited during capture]"
"37","3.936245","0.000180","192.168.1.10","10.0.0.2","SMB2","162","108","128","GetInfo Request FS_INFO/FileFsObjectIdInformation File: ross\\share"
"38","3.976055","0.039810","10.0.0.2","192.168.1.10","SMB2","194","140","127","GetInfo Response"
"39","3.976330","0.000275","192.168.1.10","10.0.0.2","SMB2","146","92","128","Close Request File: ross\\share"
"40","4.016507","0.040177","10.0.0.2","192.168.1.10","SMB2","182","128","127","Close Response"
"41","4.066602","0.050095","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=3104 Ack=3489 Win=65536 Len=0"
"42","4.123682","0.057080","192.168.1.10","10.0.0.2","SMB2","382","328","128","Create Request File: ross\\share[Packet size limited during capture]"
"43","4.156505","0.032823","10.0.0.2","192.168.1.10","SMB2","378","324","127","Create Response File: ross\\share[Packet size limited during capture]"
"44","4.180075","0.023570","192.168.1.10","10.0.0.2","SMB2","260","206","128","Find Request File: ross\\share SMB2_FIND_ID_BOTH_DIRECTORY_INFO Pattern: *;Find Request File: ross\\share[Packet size limited during capture]"
"45","4.216240","0.036165","10.0.0.2","192.168.1.10","SMB2","754","700","127","Find Response[Packet size limited during capture]"
"46","4.216548","0.000308","192.168.1.10","10.0.0.2","SMB2","346","292","128","Create Request File: ross\\share;[Packet size limited during capture]"
"47","4.256027","0.039479","10.0.0.2","192.168.1.10","SMB2","418","364","127","Create Response File: ross\\share;[Packet size limited during capture]"
