"No.","Time","Delta","Source","Destination","Protocol","Length","TCP Segment Len","Time to Live","Info"
"1","0.000000","0.000000","192.168.1.10","10.0.0.2","SMB2","126","72","127","Tree Disconnect Request"
"2","0.000224","0.000224","10.0.0.2","192.168.1.10","SMB2","126","72","128","Tree Disconnect Response"
"3","0.039868","0.039644","192.168.1.10","10.0.0.2","SMB2","126","72","127","Session Logoff Request"
"4","0.039968","0.000100","10.0.0.2","192.168.1.10","SMB2","126","72","128","Session Logoff Response"
"5","0.079805","0.039837","192.168.1.10","10.0.0.2","TCP","60","0","127","49833  >  445 [RST, ACK] Seq=145 Ack=145 Win=0 Len=0"
"6","6.274830","6.195025","10.0.0.2","239.255.255.250","SSDP","179","","4","M-SEARCH * HTTP/1.1 "
"7","9.289031","3.014201","10.0.0.2","239.255.255.250","SSDP","179","","4","M-SEARCH * HTTP/1.1 "
"8","12.306328","3.017297","10.0.0.2","239.255.255.250","SSDP","179","","4","M-SEARCH * HTTP/1.1 "
"9","12.924260","0.617932","172.16.1.1","172.16.1.255","DB-LSP-DISC","279","","64","Dropbox LAN sync Discovery Protocol"
"10","15.320458","2.396198","10.0.0.2","239.255.255.250","SSDP","179","","4","M-SEARCH * HTTP/1.1 "
"11","16.299903","0.979445","192.168.1.10","10.0.0.2","TCP","66","0","127","49844  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12","16.299980","0.000077","10.0.0.2","192.168.1.10","TCP","66","0","128","445  >  49844 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"13","16.339998","0.040018","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"14","16.339999","0.000001","192.168.1.10","10.0.0.2","SMB2","232","178","127","Negotiate Protocol Request"
"15","16.343240","0.003241","10.0.0.2","192.168.1.10","SMB2","566","512","128","Negotiate Protocol Response[Packet size limited during capture]"
"16","16.380255","0.037015","192.168.1.10","10.0.0.2","SMB2","220","166","127","Session Setup Request, NTLMSSP_NEGOTIATE"
"17","16.380677","0.000422","10.0.0.2","192.168.1.10","SMB2","401","347","128","Session Setup Response, Error: STATUS_MORE_PROCESSING_REQUIRED[Packet size limited during capture]"
"18","16.420799","0.040122","192.168.1.10","10.0.0.2","SMB2","697","643","127","Session Setup Request[Packet size limited during capture]"
"19","16.422803","0.002004","10.0.0.2","192.168.1.10","SMB2","159","105","128","Session Setup Response"
"20","16.460037","0.037234","192.168.1.10","10.0.0.2","SMB2","162","108","127","Tree Connect Request Tree: \\\\10.0.0.2\\users"
"21","16.460303","0.000266","10.0.0.2","192.168.1.10","SMB2","138","84","128","Tree Connect Response"
"22","16.500138","0.039835","192.168.1.10","10.0.0.2","SMB2","178","124","127","Ioctl Request FSCTL_QUERY_NETWORK_INTERFACE_INFO"
"23","16.500139","0.000001","192.168.1.10","10.0.0.2","SMB2","290","236","127","Create Request File: ross\\share;[Packet size limited during capture]"
"24","16.500201","0.000062","10.0.0.2","192.168.1.10","TCP","54","0","128","445  >  49844 [ACK] Seq=1049 Ack=1456 Win=64000 Len=0"
"25","16.500510","0.000309","10.0.0.2","192.168.1.10","SMB2","338","284","128","Create Response File: ross\\share;[Packet size limited during capture]"
"26","16.500637","0.000127","10.0.0.2","192.168.1.10","SMB2","626","572","128","Ioctl Response FSCTL_QUERY_NETWORK_INTERFACE_INFO[Packet size limited during capture]"
"27","16.540457","0.039820","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=1456 Ack=1905 Win=65536 Len=0"
"28","16.650701","0.110244","192.168.1.10","10.0.0.2","SMB2","250","196","127","Create Request File: ross\\share"
"29","16.650918","0.000217","10.0.0.2","192.168.1.10","SMB2","298","244","128","Create Response File: ross\\share[Packet size limited during capture]"
"30","16.690711","0.039793","192.168.1.10","10.0.0.2","SMB2","146","92","127","Close Request File: ross\\share"
"31","16.690712","0.000001","192.168.1.10","10.0.0.2","SMB2","234","180","127","Create Request File: "
"32","16.690712","0.000000","192.168.1.10","10.0.0.2","SMB2","406","352","127","Create Request File: ross\\share\\Desktop.ini[Packet size limited during capture]"
"33","16.690769","0.000057","10.0.0.2","192.168.1.10","TCP","54","0","128","445  >  49844 [ACK] Seq=2149 Ack=1924 Win=65280 Len=0"
"34","16.690975","0.000206","10.0.0.2","192.168.1.10","SMB2","182","128","128","Close Response"
"35","16.691159","0.000184","10.0.0.2","192.168.1.10","SMB2","298","244","128","Create Response File: [Packet size limited during capture]"
"36","16.691314","0.000155","10.0.0.2","192.168.1.10","SMB2","130","76","128","Create Response, Error: STATUS_OBJECT_NAME_NOT_FOUND"
"37","16.729943","0.038629","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=2276 Ack=2597 Win=64768 Len=0"
"38","16.729943","0.000000","192.168.1.10","10.0.0.2","SMB2","146","92","127","Close Request File: "
"39","16.729944","0.000001","192.168.1.10","10.0.0.2","SMB2","274","220","127","Create Request File: ross\\share\\AutoRun.inf[Packet size limited during capture]"
"40","16.730009","0.000065","10.0.0.2","192.168.1.10","TCP","54","0","128","445  >  49844 [ACK] Seq=2597 Ack=2588 Win=64512 Len=0"
"41","16.730281","0.000272","10.0.0.2","192.168.1.10","SMB2","130","76","128","Create Response, Error: STATUS_OBJECT_NAME_NOT_FOUND"
"42","16.730446","0.000165","10.0.0.2","192.168.1.10","SMB2","182","128","128","Close Response"
"43","16.770670","0.040224","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=2588 Ack=2801 Win=64768 Len=0"
"44","16.840711","0.070041","192.168.1.10","10.0.0.2","SMB2","370","316","127","Create Request File: ross\\share[Packet size limited during capture]"
"45","16.840948","0.000237","10.0.0.2","192.168.1.10","SMB2","474","420","128","Create Response File: ross\\share[Packet size limited during capture]"
"46","16.880302","0.039354","192.168.1.10","10.0.0.2","SMB2","162","108","127","GetInfo Request FS_INFO/FileFsObjectIdInformation File: ross\\share"
"47","16.880424","0.000122","10.0.0.2","192.168.1.10","SMB2","194","140","128","GetInfo Response"
"48","16.919932","0.039508","192.168.1.10","10.0.0.2","SMB2","146","92","127","Close Request File: ross\\share"
"49","16.920069","0.000137","10.0.0.2","192.168.1.10","SMB2","182","128","128","Close Response"
"50","17.009994","0.089925","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=3104 Ack=3489 Win=65536 Len=0"
"51","17.059763","0.049769","192.168.1.10","10.0.0.2","SMB2","382","328","127","Create Request File: ross\\share[Packet size limited during capture]"
"52","17.059988","0.000225","10.0.0.2","192.168.1.10","SMB2","378","324","128","Create Response File: ross\\share[Packet size limited during capture]"
"53","17.120649","0.060661","192.168.1.10","10.0.0.2","SMB2","260","206","127","Find Request File: ross\\share SMB2_FIND_ID_BOTH_DIRECTORY_INFO Pattern: *;Find Request File: ross\\share[Packet size limited during capture]"
"54","17.120916","0.000267","10.0.0.2","192.168.1.10","SMB2","754","700","128","Find Response[Packet size limited during capture]"
"55","17.160475","0.039559","192.168.1.10","10.0.0.2","SMB2","346","292","127","Create Request File: ross\\share;[Packet size limited during capture]"
"56","17.160682","0.000207","10.0.0.2","192.168.1.10","SMB2","418","364","128","Create Response File: ross\\share;[Packet size limited during capture]"
"57","17.205150","0.044468","192.168.1.10","10.0.0.2","SMB2","162","108","127","GetInfo Request FS_INFO/FileFsObjectIdInformation File: ross\\share"
"58","17.205837","0.000687","10.0.0.2","192.168.1.10","SMB2","194","140","128","GetInfo Response"
"59","17.240609","0.034772","192.168.1.10","10.0.0.2","SMB2","146","92","127","Close Request File: ross\\share"
"60","17.241277","0.000668","10.0.0.2","192.168.1.10","SMB2","182","128","128","Close Response"
"61","17.279892","0.038615","192.168.1.10","10.0.0.2","SMB2","226","172","127","Create Request File: ross\\share"
"62","17.280065","0.000173","10.0.0.2","192.168.1.10","SMB2","242","188","128","Create Response File: ross\\share"
"63","17.319908","0.039843","192.168.1.10","10.0.0.2","SMB2","146","92","127","Close Request File: ross\\share"
"64","17.320169","0.000261","10.0.0.2","192.168.1.10","SMB2","182","128","128","Close Response"
"65","17.360271","0.040102","192.168.1.10","10.0.0.2","SMB2","346","292","127","Create Request File: ross\\share;[Packet size limited during capture]"
"66","17.360272","0.000001","192.168.1.10","10.0.0.2","SMB2","443","389","127","Create Request File: ross\\share;[Packet size limited during capture]"
"67","17.360334","0.000062","10.0.0.2","192.168.1.10","TCP","54","0","128","445  >  49844 [ACK] Seq=5461 Ack=5075 Win=65536 Len=0"
"68","17.360596","0.000262","10.0.0.2","192.168.1.10","SMB2","434","380","128","Create Response File: ross\\share;[Packet size limited during capture]"
"69","17.360773","0.000177","10.0.0.2","192.168.1.10","SMB2","418","364","128","Create Response File: ross\\share;[Packet size limited during capture]"
"70","17.399916","0.039143","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=5075 Ack=6205 Win=64512 Len=0"
"71","17.399917","0.000001","192.168.1.10","10.0.0.2","SMB2","226","172","127","Create Request File: ross\\share"
"72","17.400151","0.000234","10.0.0.2","192.168.1.10","SMB2","242","188","128","Create Response File: ross\\share"
"73","17.440301","0.040150","192.168.1.10","10.0.0.2","SMB2","146","92","127","Close Request File: ross\\share"
"74","17.440479","0.000178","10.0.0.2","192.168.1.10","SMB2","182","128","128","Close Response"
"75","17.485817","0.045338","192.168.1.10","10.0.0.2","SMB2","162","108","127","GetInfo Request FS_INFO/FileFsObjectIdInformation File: ross\\share"
"76","17.494845","0.009028","10.0.0.2","192.168.1.10","SMB2","194","140","128","GetInfo Response"
"77","17.530080","0.035235","192.168.1.10","10.0.0.2","SMB2","146","92","127","Close Request File: ross\\share"
"78","17.530222","0.000142","10.0.0.2","192.168.1.10","SMB2","182","128","128","Close Response"
"79","17.570691","0.040469","192.168.1.10","10.0.0.2","SMB2","146","92","127","Close Request File: ross\\share"
"80","17.571094","0.000403","10.0.0.2","192.168.1.10","SMB2","182","128","128","Close Response"
"81","17.660693","0.089599","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=5631 Ack=6917 Win=65280 Len=0"
"82","18.320918","0.660225","10.0.0.2","239.255.255.250","SSDP","179","","4","M-SEARCH * HTTP/1.1 "
"83","19.820831","1.499913","192.168.1.10","10.0.0.2","SMB2","478","424","127","Create Request[Packet size limited during capture]"
"84","19.821649","0.000818","10.0.0.2","192.168.1.10","SMB2","130","76","128","Create Response, Error: STATUS_PENDING"
"85","19.822220","0.000571","10.0.0.2","192.168.1.10","SMB2","410","356","128","Create Response File: [unknown][Packet size limited during capture]"
"86","19.839819","0.017599","192.168.1.10","10.0.0.2","SMB2","178","124","127","Ioctl Request FSCTL_QUERY_NETWORK_INTERFACE_INFO"
"87","19.839915","0.000096","10.0.0.2","192.168.1.10","SMB2","626","572","128","Ioctl Response FSCTL_QUERY_NETWORK_INTERFACE_INFO[Packet size limited during capture]"
"88","19.860828","0.020913","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=6179 Ack=7349 Win=64768 Len=0"
"89","19.860828","0.000000","192.168.1.10","10.0.0.2","SMB2","162","108","127","GetInfo Request SEC_INFO/SMB2_SEC_INFO_00"
"90","19.860921","0.000093","10.0.0.2","192.168.1.10","SMB2","130","76","128","GetInfo Response, Error: STATUS_ACCESS_DENIED"
"91","19.900889","0.039968","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=6287 Ack=7997 Win=65536 Len=0"
"92","19.900890","0.000001","192.168.1.10","10.0.0.2","SMB2","171","117","127","Read Request Len:32768 Off:0"
"93","19.901142","0.000252","10.0.0.2","192.168.1.10","SMB2","21954","21900","128","Read Response[BoundErrorUnreassembled Packet]"
"94","19.940224","0.039082","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=6404 Ack=13837 Win=65536 Len=0"
"95","19.940225","0.000001","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=6404 Ack=22597 Win=65536 Len=0"
"96","19.940310","0.000085","10.0.0.2","192.168.1.10","NBSS","11006","10952","128","NBSS Continuation Message"
"97","19.940515","0.000205","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=6404 Ack=26977 Win=65536 Len=0"
"98","19.940515","0.000000","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=6404 Ack=29897 Win=65536 Len=0"
"99","19.980821","0.040306","192.168.1.10","10.0.0.2","TCP","60","0","127","49844  >  445 [ACK] Seq=6404 Ack=35737 Win=65536 Len=0"
