"No.","Time","Delta","Source","Destination","Protocol","Length","TCP Segment Len","Time to Live","Identification","Info"
"1","0.000000","0.000000","212.252.18.251","10.0.64.129","TCP","64","0","123","0x0100 (256)","18026  >  80 [SYN] Seq=0 Win=16384 Len=0"
"2","0.000001","0.000001","147.227.17.36","10.0.64.129","TCP","64","0","118","0x0100 (256)","17730  >  80 [SYN] Seq=0 Win=16384 Len=0"
"3","0.000003","0.000001","212.212.4.163","10.0.64.129","TCP","64","0","123","0x0100 (256)","11714  >  80 [SYN] Seq=0 Win=16384 Len=0"
"4","0.000005","0.000001","200.80.27.215","10.0.64.129","TCP","64","0","111","0x0100 (256)","19322  >  80 [SYN] Seq=0 Win=16384 Len=0"
"5","0.000170","0.000165","95.173.168.10","10.0.63.131","TCP","64","0","243","0x4a8d (19085)","2938  >  1986 [SYN] Seq=0 Win=4096 Len=0"
"6","0.000173","0.000003","219.99.40.17","10.0.64.129","TCP","64","0","110","0x0100 (256)","21271  >  80 [SYN] Seq=0 Win=16384 Len=0"
"7","0.000201","0.000027","212.252.18.223","10.0.64.129","TCP","64","0","123","0x0100 (256)","17998  >  80 [SYN] Seq=0 Win=16384 Len=0"
"8","0.000203","0.000002","147.227.17.67","10.0.64.129","TCP","64","0","118","0x0100 (256)","17761  >  80 [SYN] Seq=0 Win=16384 Len=0"
"9","0.000215","0.000012","147.227.17.142","10.0.64.129","TCP","64","0","118","0x0100 (256)","17836  >  80 [SYN] Seq=0 Win=16384 Len=0"
"10","0.000217","0.000002","147.227.17.78","10.0.64.129","TCP","64","0","118","0x0100 (256)","17772  >  80 [SYN] Seq=0 Win=16384 Len=0"
"11","0.000219","0.000001","212.212.4.215","10.0.64.129","TCP","64","0","123","0x0100 (256)","11766  >  80 [SYN] Seq=0 Win=16384 Len=0"
"12","0.000221","0.000001","123.83.1.151","10.0.64.129","TCP","64","0","114","0x0100 (256)","15405  >  80 [SYN] Seq=0 Win=16384 Len=0"
"13","0.000223","0.000001","123.83.1.102","10.0.64.129","TCP","64","0","114","0x0100 (256)","15356  >  80 [SYN] Seq=0 Win=16384 Len=0"
"14","0.000224","0.000001","147.227.17.137","10.0.64.129","TCP","64","0","118","0x0100 (256)","17831  >  80 [SYN] Seq=0 Win=16384 Len=0"
"15","0.000226","0.000001","147.227.17.140","10.0.64.129","TCP","64","0","118","0x0100 (256)","17834  >  80 [SYN] Seq=0 Win=16384 Len=0"
"16","0.000228","0.000001","194.74.28.121","10.0.64.129","TCP","64","0","105","0x0100 (256)","19478  >  80 [SYN] Seq=0 Win=16384 Len=0"
"17","0.000229","0.000001","147.227.17.48","10.0.64.129","TCP","64","0","118","0x0100 (256)","17742  >  80 [SYN] Seq=0 Win=16384 Len=0"
"18","0.000231","0.000001","147.227.17.86","10.0.64.129","TCP","64","0","118","0x0100 (256)","17780  >  80 [SYN] Seq=0 Win=16384 Len=0"
"19","0.000233","0.000001","212.252.19.85","10.0.64.129","TCP","64","0","123","0x0100 (256)","18116  >  80 [SYN] Seq=0 Win=16384 Len=0"
"20","0.000235","0.000001","212.252.19.3","10.0.64.129","TCP","64","0","123","0x0100 (256)","18034  >  80 [SYN] Seq=0 Win=16384 Len=0"
"21","0.000236","0.000001","212.212.4.224","10.0.64.129","TCP","64","0","123","0x0100 (256)","11775  >  80 [SYN] Seq=0 Win=16384 Len=0"
"22","0.000238","0.000001","212.252.19.83","10.0.64.129","TCP","64","0","123","0x0100 (256)","18114  >  80 [SYN] Seq=0 Win=16384 Len=0"
"23","0.000240","0.000001","219.99.39.181","10.0.64.129","TCP","64","0","110","0x0100 (256)","21179  >  80 [SYN] Seq=0 Win=16384 Len=0"
"24","0.000495","0.000255","Cisco_46:1b:71","Broadcast","ARP","68","","","","Who has 10.0.63.129? Tell 10.0.63.130[Packet size limited during capture]"
"25","0.000520","0.000024","219.99.39.200","10.0.64.129","TCP","64","0","110","0x0100 (256)","21198  >  80 [SYN] Seq=0 Win=16384 Len=0"
"26","0.000524","0.000004","147.227.17.159","10.0.64.129","TCP","64","0","118","0x0100 (256)","17853  >  80 [SYN] Seq=0 Win=16384 Len=0"
"27","0.000526","0.000001","206.126.36.130","10.0.64.129","TCP","64","0","117","0x0100 (256)","19387  >  80 [SYN] Seq=0 Win=16384 Len=0"
"28","0.000528","0.000001","147.227.17.152","10.0.64.129","TCP","64","0","118","0x0100 (256)","17846  >  80 [SYN] Seq=0 Win=16384 Len=0"
"29","0.000529","0.000001","212.212.4.232","10.0.64.129","TCP","64","0","123","0x0100 (256)","11783  >  80 [SYN] Seq=0 Win=16384 Len=0"
"30","0.000531","0.000001","206.126.36.156","10.0.64.129","TCP","64","0","117","0x0100 (256)","19413  >  80 [SYN] Seq=0 Win=16384 Len=0"
"31","0.000533","0.000001","206.126.36.118","10.0.64.129","TCP","64","0","117","0x0100 (256)","19375  >  80 [SYN] Seq=0 Win=16384 Len=0"
"32","0.000534","0.000001","206.126.36.157","10.0.64.129","TCP","64","0","117","0x0100 (256)","19414  >  80 [SYN] Seq=0 Win=16384 Len=0"
"33","0.000536","0.000001","206.126.36.217","10.0.64.129","TCP","64","0","117","0x0100 (256)","19474  >  80 [SYN] Seq=0 Win=16384 Len=0"
"34","0.000538","0.000001","212.252.19.92","10.0.64.129","TCP","64","0","123","0x0100 (256)","18123  >  80 [SYN] Seq=0 Win=16384 Len=0"
"35","0.000540","0.000001","131.171.39.242","10.0.64.129","TCP","64","0","122","0x0100 (256)","20912  >  80 [SYN] Seq=0 Win=16384 Len=0"
"36","0.000589","0.000049","95.173.168.10","10.0.63.132","TCP","64","0","243","0x4a8e (19086)","2939  >  1986 [SYN] Seq=0 Win=4096 Len=0"
"37","0.000591","0.000002","147.227.17.42","10.0.64.129","TCP","64","0","118","0x0100 (256)","17736  >  80 [SYN] Seq=0 Win=16384 Len=0"
"38","0.000593","0.000001","142.142.28.129","10.0.64.129","TCP","64","0","113","0x0100 (256)","16554  >  80 [SYN] Seq=0 Win=16384 Len=0"
"39","0.000595","0.000001","142.142.28.136","10.0.64.129","TCP","64","0","113","0x0100 (256)","16561  >  80 [SYN] Seq=0 Win=16384 Len=0"
"40","0.000597","0.000001","147.227.17.38","10.0.64.129","TCP","64","0","118","0x0100 (256)","17732  >  80 [SYN] Seq=0 Win=16384 Len=0"
"41","0.000598","0.000001","206.126.36.223","10.0.64.129","TCP","64","0","117","0x0100 (256)","19480  >  80 [SYN] Seq=0 Win=16384 Len=0"
